slug,name,club,league,tier,pos,age,born,foot,cap_status,senior_caps,senior_goals,senior_debut,youth,eligible,ireland_level,s_apps,s_starts,s_goals,s_assists,s_mins,s_yellow,s_red,c_apps,c_goals,c_assists,injury,locked,notes
aidomo-emakhu,Aidomo Emakhu,Millwall,,abroad-lower,FWD,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
evan-ferguson,Evan Ferguson,Brighton & Hove Albion,,abroad-lower,FWD,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
will-ferry,Will Ferry,Dundee United,,abroad-lower,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
rory-finneran,Rory Finneran,Newcastle United,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
joe-hodge,Joe Hodge,Huddersfield Town,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
adam-idah,Adam Idah,Celtic,,abroad-lower,FWD,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
mikey-johnston,Mikey Johnston,West Bromwich Albion,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
josh-keeley,Josh Keeley,Tottenham Hotspur,,abroad-lower,GK,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
caoimhin-kelleher,Caoimhín Kelleher,Brentford,,abroad-lower,GK,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
johnny-kenny,Johnny Kenny,Shamrock Rovers,League of Ireland,loi,FWD,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
jason-knight,Jason Knight,Bristol City,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
bosun-lawal,Bosun Lawal,Stoke City,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
kian-leavy,Kian Leavy,St Patrick's Athletic,League of Ireland,loi,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
ryan-manning,Ryan Manning,Southampton,,abroad-lower,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
kasey-mcateer,Kasey McAteer,Leicester City,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
james-mcgrath,James McGrath,Mansfield Town,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
mark-mcguinness,Mark McGuinness,Sheffield United,,abroad-lower,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
mason-melia,Mason Melia,AZ Alkmaar,,abroad-lower,FWD,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
jayson-molumby,Jayson Molumby,West Bromwich Albion,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
andrew-moran,Andrew Moran,Preston North End,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
jack-moylan,Jack Moylan,St Patrick's Athletic,League of Ireland,loi,FWD,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
corrie-ndaba,Corrie Ndaba,Ipswich Town,,abroad-lower,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
chiedozie-ogbene,Chiedozie Ogbene,Coventry City,,abroad-lower,FWD,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
andrew-omobamidele,Andrew Omobamidele,Nottingham Forest,,abroad-lower,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
jake-obrien,Jake O'Brien,Everton,,abroad-lower,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
callum-odowda,Callum O'Dowda,Cardiff City,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
max-oleary,Max O'Leary,Bristol City,,abroad-lower,GK,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
dara-oshea,Dara O'Shea,Ipswich Town,,abroad-lower,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
troy-parrott,Troy Parrott,AZ Alkmaar,,abroad-lower,FWD,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
killian-phillips,Killian Phillips,Crystal Palace,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
liam-scales,Liam Scales,Celtic,,abroad-lower,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
will-smallbone,Will Smallbone,Stoke City,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
mark-sykes,Mark Sykes,Bristol City,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
sammie-szmodics,Sammie Szmodics,Blackburn Rovers,,abroad-lower,FWD,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
jack-taylor,Jack Taylor,Ipswich Town,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
mark-travers,Mark Travers,Bournemouth,,abroad-lower,GK,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
jaden-umeh,Jaden Umeh,Benfica,,abroad-lower,FWD,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
harvey-vale,Harvey Vale,Chelsea,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
rocco-vata,Rocco Vata,Watford,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
josh-honohan,Josh Honohan,Lincoln City,,abroad-lower,DEF,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
connor-oriordan,Connor O'Riordan,Blackburn Rovers,,abroad-lower,DEF,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
thomas-oconnor,Thomas O'Connor,Wrexham,,abroad-lower,MID,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
niall-morahan,Niall Morahan,Bohemians,League of Ireland,loi,MID,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
ben-mccormack,Ben McCormack,Bray Wanderers,League of Ireland,loi,MID,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
ben-quinn,Ben Quinn,Portadown,NIFL Premiership,abroad-lower,FWD,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
cathal-osullivan,Cathal O'Sullivan,Preston North End,,abroad-lower,MID,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
ronan-maher,Ronan Maher,Walsall,,abroad-lower,MID,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
oisin-gallagher,Oisín Gallagher,Lincoln City,,abroad-lower,MID,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
adam-brennan,Adam Brennan,Shamrock Rovers,League of Ireland,loi,FWD,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
noah-jauny,Noah Jauny,Stade Brestois,,abroad-lower,GK,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
aaron-maguire,Aaron Maguire,Tottenham Hotspur,,abroad-lower,GK,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
conor-walsh,Conor Walsh,Shelbourne,League of Ireland,loi,GK,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
sam-curtis,Sam Curtis,Sheffield United,,abroad-lower,DEF,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
sean-grehan,Sean Grehan,Doncaster Rovers,,abroad-lower,DEF,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
sean-keogh,Sean Keogh,Brighton & Hove Albion,,abroad-lower,DEF,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
conor-mcmanus,Conor McManus,Brentford,,abroad-lower,DEF,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
cory-osullivan,Cory O'Sullivan,Shamrock Rovers,League of Ireland,loi,DEF,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
david-okagbue,David Okagbue,Peterborough United,,abroad-lower,DEF,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
jacob-devaney,Jacob Devaney,Manchester United,,abroad-lower,MID,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
gabriel-kelly,Gabriel Kelly,Stoke City,,abroad-lower,MID,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
darius-lipsiuc,Darius Lipsiuc,Stoke City,,abroad-lower,MID,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
jamie-mullins,Jamie Mullins,Wycombe Wanderers,,abroad-lower,MID,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
john-osullivan,John O'Sullivan,Shamrock Rovers,League of Ireland,loi,MID,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
naj-razi,Naj Razi,Shamrock Rovers,League of Ireland,loi,MID,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
harry-vaughan,Harry Vaughan,Bohemians,League of Ireland,loi,MID,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
gbemi-arubi,Gbemi Arubi,Dundalk,League of Ireland,loi,FWD,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
tommy-lonergan,Tommy Lonergan,Waterford,League of Ireland,loi,FWD,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
kian-mcmahon-brown,Kian McMahon-Brown,Burnley,,abroad-lower,FWD,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
michael-noonan,Michael Noonan,Shamrock Rovers,League of Ireland,loi,FWD,,,,youth,,,,,Republic of Ireland:eligible,U21,,,,,,,,,,,,,
luke-cullen,Luke Cullen,St Patrick's Athletic,League of Ireland,loi,GK,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
ryan-butler,Ryan Butler,Wexford,League of Ireland,loi,DEF,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
josh-cullen,Josh Cullen,Finn Harps,League of Ireland,loi,DEF,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
oisin-mcdonagh,Oisin McDonagh,Venezia,,abroad-lower,DEF,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
finn-sherlock,Finn Sherlock,Hoffenheim,,abroad-lower,DEF,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
ade-solanke,Ade Solanke,Bournemouth,,abroad-lower,DEF,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
sean-murphy,Sean Murphy,UCD,League of Ireland,loi,DEF,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
ramon-martos,Ramon Martos,Almería,,abroad-lower,MID,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
grady-mcdonnell,Grady McDonnell,Club Brugge,,abroad-lower,MID,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
goodness-ogbonna,Goodness Ogbonna,UCD,League of Ireland,loi,MID,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
gavin-mcateer,Gavin McAteer,Finn Harps,League of Ireland,loi,MID,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
muhammad-oladiti,Muhammad Oladiti,Waterford,League of Ireland,loi,MID,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
charles-akinrintoyo,Charles Akinrintoyo,UCD,League of Ireland,loi,FWD,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
christopher-atherton,Christopher Atherton,Chelsea,,abroad-lower,FWD,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
brody-lee,Brody Lee,Cork City,League of Ireland,loi,FWD,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
billy-oneill,Billy O'Neill,Bray Wanderers,League of Ireland,loi,FWD,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
cillian-tollett,Cillian Tollett,Galway United,League of Ireland,loi,FWD,,,,youth,,,,,Republic of Ireland:eligible,U19,,,,,,,,,,,,,
george-moloney,George Moloney,Southampton,,abroad-lower,GK,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
darragh-brunton,Darragh Brunton,St Patrick's Athletic,League of Ireland,loi,GK,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
maxim-afonin,Maxim Afonin,Shamrock Rovers,League of Ireland,loi,DEF,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
danny-burke,Danny Burke,Shamrock Rovers,League of Ireland,loi,DEF,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
glenn-ilunga,Glenn Ilunga,Burnley,,abroad-lower,DEF,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
tadhg-prizeman,Tadhg Prizeman,Shamrock Rovers,League of Ireland,loi,DEF,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
sean-spaight,Sean Spaight,Dundalk,League of Ireland,loi,DEF,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
tom-mcgrath,Tom McGrath,Cork City,League of Ireland,loi,MID,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
victor-ozhianvuna,Victor Ozhianvuna,Shamrock Rovers,League of Ireland,loi,MID,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
josh-odwyer,Josh O'Dwyer,Shamrock Rovers,League of Ireland,loi,MID,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
ryan-sheridan,Ryan Sheridan,St Patrick's Athletic,League of Ireland,loi,MID,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
jason-spelman,Jason Spelman,St Patrick's Athletic,League of Ireland,loi,MID,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
kian-quigley,Kian Quigley,St Patrick's Athletic,League of Ireland,loi,MID,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
desmond-armstrong,Desmond Armstrong,Lorient,,abroad-lower,FWD,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
joe-byrne,Joe Byrne,St Patrick's Athletic,League of Ireland,loi,FWD,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
david-dunne,David Dunne,Monaco,,abroad-lower,FWD,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
josh-harpur,Josh Harpur,Bohemians,League of Ireland,loi,FWD,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
joey-wuna,Joey Wuna,Shelbourne,League of Ireland,loi,FWD,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
hugh-martin,Hugh Martin,Bohemians,League of Ireland,loi,FWD,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
vinnie-leonard,Vinnie Leonard,Norwich City,,abroad-lower,DEF,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
cillian-murphy,Cillian Murphy,Cork City,League of Ireland,loi,FWD,,,,youth,,,,,Republic of Ireland:eligible,U17,,,,,,,,,,,,,
